Title,Name,Review Date,Airline,Verified,Reviews,Type of Traveller,Month Flown,Route,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended
definitely fly with ANA again,L Price,2017-03-21,All Nippon Airways,True,"  Sapporo to Tokyo Haneda. Flying back to Tokyo after our time at the snow resort. Everything from check-in to baggage drop went quite smoothly. The flight was delayed 30 mins due to late arrival, these things happen so it's best to expect it when travelling, seats felt less comfortable then previous flight and in regards to onboard experience I think food should be served on a 1.5 hour flight. Some people might think otherwise and not agree with my opinion but for a full service airline, it should be expected. Baggage did take up to 30 mins to come out, but that is the airport's responsibility. Overall, I definitely would fly with ANA again.",Couple Leisure,March 2017,Sapporo New Chitose to Tokyo,Economy Class,4,5,3,3,4,6,yes
Great flight overall,H Luong,2017-03-16,All Nippon Airways,False,"  Tokyo Haneda to Sapporo New Chitose. This is the first time I have flown with a Japanese airline on a domestic flight, and it was efficient and smooth. I arrived quite early at the airport and they let me check in early, even offered to put me on an earlier flight, but I couldn't accept as my ground transfer could not be amend. It only takes 15 mins to board a almost full flight, in Australia it takes 30 mins or more to board just a Boeing 737 and the team from ANA are incredibly friendly and always ready to help with any queries. It was a short flight approx. 1.5 hours thus no food was offered but received drinks as refreshment. Great flight overall and when I come back to Japan, it will be a joy to fly Business Class with ANA.",Couple Leisure,March 2017,Haneda to Sapporo,Economy Class,3,5,4,5,5,7,yes
everything to my satisfaction,P Chan,2017-03-13,All Nippon Airways,False,"  Kuala Lumpur to Sapporo via Tokyo. This was my first family trip to Sapporo via Tokyo and my first time flying with ANA. No doubt that this airline is a 5 star airlines. From ticket price, check-in, departure (delayed for almost 1 hour on that day), meals, seats (although a bit cramp), everything is up to my satisfaction. Just one thing that I would like to highlight is the good and friendly service from cabin crew service went a little overboard. During meal serving session, cabin crew attending to the same passengers who already have their meals and drinks distributed (these passengers keep on requesting for more drinks) and left the rest of the passengers who have not got their meal and drinks waited.",Family Leisure,December 2016,Kuala Lumpur to Sapporo via Tokyo,Economy Class,5,5,4,2,3,7,yes
faultlessly professional,P Tang,2017-03-13,All Nippon Airways,True,"  Shanghai to Tokyo Haneda. The staff are faultlessly professional and polite and cheerful, the cabin was spotlessly clean. The vegetarian option was very tasty - a tofu salad or a chickpea patty with pasta. My only two concerns were: On most flights requesting a special meal means receiving the meal ahead of the rest of the passengers, but this time I waited while the rows around me were served while the attendant went to fetch my meal from the galley. This wasn't such a big deal, since it was only a slight delay, but it was different than my experience on other airlines. The in-flight entertainment was quite limited.  Overall, nice experience. I would fly with them again.",Couple Leisure,March 2017,PVG to HND,Economy Class,5,5,5,4,5,8,yes
Cabin service one of the best,P Tang,2017-02-28,All Nippon Airways,True,"  Kuala Lumpur to Tokyo Narita. This was our family first flight with ANA. The reason we chose ANA was due to it's connectivity and relatively cheap airfare, as we were flying multi-cities in Japan. The seat width was reasonable and legroom was good. Cabin service is one of the best. The window tinting feature of Boeing 787 is very unique and hightech. One setback was the fabric seat getting hot after flown for hours. It would be better if the aircraft were fitted with leather seats. Announcements were generally made in Japanese with only important short messages announced in English.",Family Leisure,December 2016,Kuala Lumpur to Tokyo,Economy Class,4,5,4,5,5,9,yes
Exceeded my expectations,S Nalev,2017-02-14,All Nippon Airways,False,"  Beijing to Tokyo Haneda. Exceeded my expectations. ANA treating us with the same respect as first class passengers. We boarded quickly with no hassle. The aircraft is efficient and luxurious. The windows can be shaded, instead of closed. The food was excellent for airline food. The seats come forward when you recline. Instead of a indention for your cup, there was a hole so that your cup does not move. Good Boarding Music.
",Family Leisure,November 2016,Beijing to Tokyo Haneda,Economy Class,3,5,5,5,5,10,yes
surpassed my expectations,Edward Johann Leong,2017-02-08,All Nippon Airways,True,"  Kuala Lumpur to Tokyo Haneda return In summary the service by the cabin crew on both sectors were impeccable and the details of the service on board was top notch. I flew 2 elderly passengers, 1 wheelchair passenger and a 5yr old child. We were all well taken care of from the boarding point right to the moment we disembarked after the immigration office by ANA ground staff. Food selection is better than most airlines. Chair did not recline well but was sufficient. Cabin crew was extremely polite and was always visible in the cabin making sure every passenger was attended to. Upon arrival the baggage delivery was prompt and quick. On our return trip on of the passengers from my group was seated separately. However, they went through all the trouble to assign us a seat together despite the full flight HND KUL. The service overall surpassed my expectations. I will always plan my trips on ANA in future where possible.",Family Leisure,February 2017,KUL to HND,Economy Class,4,1,4,3,5,10,yes
crew really attentive and friendly,Marcus Wong,2017-02-07,All Nippon Airways,True,"  Tokyo Haneda to Kuala Lumpur. My flight was scheduled to depart from Tokyo Haneda at 0005 hrs in the morning. Chose ANA because of the offered price.  The plane was very clean upon boarding. The window tinting feature on the Boeing 787 is very nice! Flight took off on time. Cabin crew were really attentive and friendly. Food was delicious. However, my IFE system got jammed after watching a movie. I reported the problem to the cabin crew and they quickly restarted the system for me. I was really happy with that. The recline of the seats wasn't very good. Couldn't get much sleep because it was uncomfortable. Landed in KLIA, on time as scheduled ( 630 hrs). Baggage reclaim was a breeze! They unloaded the baggages really fast. It was an honor flying with ANA and I will be sure to recommend this airline to others.",Family Leisure,December 2016,Tokyo to Kuala Lumpur,Economy Class,4,5,5,3,4,9,yes
staff care about their clients,H Lamesson ,2017-01-31,All Nippon Airways,True,"  Tokyo Narita to Singapore. I have flown ANA several times on both economy and premium economy cabin and it is a seemless ride, wonderful service from both ground and inflight crews.  You really get the feeling that ANA staff care about their clients. Food is delicious, great quality of wines, IFE with plenty of choices. The 2x4x3 configuration is the best layout I ever saw on a Boeing 777. Only downside is how the Y seat reclines, instead of your back reclining, it is your hips that slide forwards hence reducing your leg room. Hard to describe but the economy seat isn't reclining the traditional way thus making it a biy uncomfortable, and I decided not to recline. The premium economy seats recline well. Besides that ANA is a well deserved 5-Star airline.",Business,January 2017,Tokyo to Singapore,Economy Class,5,5,5,4,4,9,yes
journey is very comfortable,Y Tan,2017-01-29,All Nippon Airways,False,"  Tokyo Narita to Hong Kong on economy class with ANA. The service is best. Boarding was efficient and flight attendants were very friendly. The ground service is best, and Food and beverages is good. This journey is very comfortable. Highly recommended. ",Family Leisure,January 2017,NRT to HKG,Economy Class,3,5,3,2,4,9,yes
staff service exceptional ,H Wenger,2017-01-27,All Nippon Airways,True,"  Tokyo Haneda to Frankfurt in business class. Check in and lounge at Haneda exceptional and so efficient. Onboard the Boeing 777 seats are nice and private, a little narrow but I'm large! Food was excellent and seemed more refined than many airlines. Staff service exceptional and the best I can remember in over 25 years of flying - well done. IFE good movie choices, but TV programs seemed rather small in choice. Will choose next time over Lufthansa.",Business,January 2017,Tokyo to Frankfurt,Business Class,5,3,5,4,4,10,yes
Highly recommended,J Sannurin,2017-01-19,All Nippon Airways,False,"  Tokyo Narita to Nagoya on business class. Highly efficient check in and a very generous luggage allowance. The domestic lounge is commendable, with a reasonable quantity of choice of freshly prepared light meals and drinks. Boarding was efficient and flight attendants were very friendly. The onboard beverage selection is exceptional and the light premium Gozen meals are also very good. Highly recommended.",Solo Leisure,December 2016,NRT to NGO,Business Class,4,5,5,3,5,10,yes
flight was okay,P Harisni,2017-01-16,All Nippon Airways,False,  Jakarta to San Francisco return via Tokyo.  Flight was okay despite the pretty bad weather when flying in and out. Good in-flight entertainment and updated monthly (flew in December and January)  Ground staff and check in process was quick and efficient  Seated in a good seat during first leg and bad seat on second leg. Delicious and good meal. Flight delayed for about 1hr from NRT to SFO. Stewardess was not friendly to me. Requested for water for a couple of times and I got denied.  I wasn't able to do the web check in. Pocket seat poor cleanliness. ,Solo Leisure,January 2017,CGK to SFO via NRT,Economy Class,5,5,5,5,2,5,no
HND connection is a winner,S Heston,2017-01-13,All Nippon Airways,True,"  Haneda to New York JFK in late December 2016 with a return on January 4 in Business class. First, from a convenience stand point this flight cannot be beat. It is great to have a Haneda option to JFK available that avoids the 1.5 to 2hr transit from central Tokyo out to Narita where most US flights originate and land. I like ANA's seat configuration and the window seats with the side table on the aisle cannot be beat for privacy. You'll want to check the seat configuration on your specific flight as every other row alternates and other rows have seats where the side table is against the window. This second design exposes you more, but is also fine. Service is generally great, unobtrusive and responsive. Compared to JAL, the HND connection is a winner. Where ANA falls flat I think is food and the IFE system, for non-Japanese speakers. The selection is OK, but nothing great compared to Cathay where has a very large library available on demand. One thing I have noticed on Asian carriers is that the temperature is too high for most westerners. I find overly heated spaces claustrophobic. Dress in layers if you are heat sensitive. I have learned to carry a light cotton polo shirt in my carry on bag that I can slip on if necessary once on board. My complaint is the food. It is sometimes poor, especially the main meal, and this includes both the Japanese and International options. On the upside though is that the a la carte options that may be ordered at any time after the first meal are much better, especially the curry, salad, cheeses, fruit, ramen and other simple dishes. I think with the main meal they try too hard and fail. Overall ANA is head and shoulders above any US carrier, and I will continue to fly them regularly.",Business,December 2016,HND to JFK,Business Class,3,5,5,5,4,8,yes
"crew were lovely, welcoming and gracious",K Sherwood,2017-01-12,All Nippon Airways,True," Flew ANA to Singapore from Tokyo as a connection from United originating in Newark. It was a world of difference transferring from United to ANA. Boarding was by row numbers and fairly organized and quick. The aircraft itself has an interesting 2x4x3 layout in Economy which I quite liked. Seat pitch was excellent at 34"" and I did also like that the seat slid forward instead of reclined back. The crew were lovely, welcoming and gracious. Meals and drinks were served efficiently and with a genuine friendliness. I chose the Japanese option for dinner and it was pretty good and substantial in quantity. The crew's command of English was fair I would say. IFE on a bright touchscreen that was responsive. The selection was decent for a 7 hour flight but probably too small for a longer transpacific. WIFI was spotty and dropped out from time to time. We departed about 30mins late and arrived 20mins behind schedule after midnight. My return flight with ANA was equally commendable. Comfortable, great meals, fantastic crew. I was almost sad to be connecting to United. Which actually wasn't as bad as I imagined but not as good as ANA in terms of amenities and comfort.",Couple Leisure,December 2016,NRT to SIN,Economy Class,4,5,5,5,5,9,yes
Cabin spotless and excellent condition,Michael Hollifield,2017-01-11,All Nippon Airways,False,"  Round trip for a weekend getaway flying from Seoul to Tokyo. As always an extremely efficient boarding of 100% full plane in just 20 minutes at both Gimpo and Haneda airports. Cabin spotless and excellent condition. Crew professional and polite as always. I normally enjoy the food on ANA except for HND-GMP steamed seafood dish. I appreciate the effort of multiple seafood types on an airplane, but literally zero taste on this one. At HND, I didn't check my bag with duty free alcohol and was sent to check it in with just 25 minutes before take off. The staff politely hurried me back to the counter and again through security and the bag still made it. Impressive!",Couple Leisure,December 2016,GMP to HND,Economy Class,5,5,5,4,5,9,yes
unexpected disappointment,Michel Perrin,2016-12-30,All Nippon Airways,True,"  Unexpected disappointment. After having wrote numerous favorable reviews to ANA, I have an unpleasant surprise, that might be due to year-end excess of passengers. Service was the opposite of what it used to be on transpacific flight. Lounge at HND was overcrowded, wi-fi slow, no seats available, wines out of stock, etc. Business class passengers were boarded as cattle as we were very rudely urged to hurry up. No FA at the plane door! We entered aircraft and seated without any welcome or support. Food started was served 90 mins after taking off and as it was after midnight we were informed that no dinner would be available, just snacks. Drinks were rare. Later on no one helped me to put mattress. I hope this flight was just an accident.",Couple Leisure,December 2016,ITM to LAX via HND,Business Class,4,4,5,3,3,5,no
 service from FAs consistently excellent,N Kano,2016-12-29,All Nippon Airways,False,"  Have been flying on ANA either in economy or business three times a year for the last ten years between Honolulu and Narita. Whether in business or economy, inflight service from their FAs is consistently excellent. Food can be hit or miss but generally of high standards but not quite up to par with what is offered on mainland US flights. My only complaint is that with the Honolulu flight, upon arrival at Tokyo Narita, we are often parked away from the terminal and have to disembark by stairs and then get herded on to buses to be taken to the terminal. This has increasingly become the norm with the Honolulu to Tokyo Narita flight. On my latest flight, I complained to the FA about this as I have arthritis and it is difficult and painful for me to descend stairs with a carry on. She apologized for this and explained that ANA does not have control over gate assignments, but she did offer to assist me with my carry on.  I declined as I felt that it is not a FAs job to assist passengers with carrying their luggage. As ANA is a flagship airline at Tokyo Narita, this should not be happening.",Solo Leisure,December 2016,HNL to NRT,Business Class,5,5,2,4,5,8,yes
certainly fly again,Varun Govindaraj,2016-12-29,All Nippon Airways,False," Tokyo Narita to Mumbai with ANA. Overall a very good flight. Good spacious seats, very helpful flight attendants and nice food. Only crib was the IFE, the selection was quite limited and I didn't find much to watch on a 9 hour flight. I'd certainly fly again given the chance.",Solo Leisure,November 2016,NRT to BOM,Business Class,4,5,5,5,4,8,yes
recommend this airline again,Yihui Li,2016-12-26,All Nippon Airways,False,"  Kansai to Shanghai Pudong. As a frequent flyer of ANA, I am pleased to recommend this airline again. Everything is good on board : different kinds of beverage, in-flight wifi and entertainment and food. The only thing I want to complain about is that the seat comfort still need to be improved. Next time I will take ANA again.",Solo Leisure,September 2016,KIX to PVG,Economy Class,4,4,5,3,5,10,yes
best airline I've ever taken,Yui Jien Yoong,2016-12-16,All Nippon Airways,True,"  New York JFK to Kuala Lumpur via Tokyo Haneda. ANA is the best airline I've ever taken. Wonderful service and staff who are ever ready to serve, and make you feel comfortable. They treat you with kindness - adult and child alike. This is my second time flying with ANA. They ensure that the long journey need not be dreadful with their wonderful staff, good fresh food and clean, well-maintained aircraft. ",Solo Leisure,December 2016,JFK to KUL via HND,Economy Class,4,5,5,3,5,9,yes
top quality food and service,Michel Perrin,2016-12-16,All Nippon Airways,True,"  Houston to Tokyo Narita. A rather old aircraft with worn out seats. Still a fantastic 1x2x1 business class seat configuration, with top quality food and service, unbeatable ANA. Wines were not very interesting. The flight was late, and connection became stressful.",Solo Leisure,December 2016,IAH to NRT,Business Class,5,4,5,4,4,8,yes
service onboard is very good,Werner Hirschi,2016-12-13,All Nippon Airways,True,"  Tokyo Haneda to New York JFK. As Senator member of Lufthansa I was choosing ANA because of its Star Alliance membership. Overall the experience was rather good. ANA flies an up to date aircraft to New York with the configuration of business class that gives every passanger an isle access, a small table with storing facilities as well as a full flat bed with pillow and cover. The privacy is quite good above all if you choose a window seat with the table towards the aisle. The seat functionality is simple and the comfort pretty good even if the cushions are a bit hard. Food on board is good and the servings are just right so that you don't feel overly stuffed. Wine selections are good as well. On the downside the entertainment program which is extremely limited and not varied enough for non Asian costumers. The service onboard is very good in a japanese style. The flight attendants (almost always women) are very kind and attentive and tend to your every need. I would definitely chose ANA again as it is a much more comfortable option to fly from Japan to the US, although it is also more expensive than the american carriers.",Business,December 2016,HND to JFK,Business Class,5,5,5,4,4,8,yes
we were pleased with the trip,Monica Astrid,2016-12-04,All Nippon Airways,False,"  First time flying ANA, had high expectations based on reviews and reputation. Seats were comfy, cabin staff attitude mixed, some were very friendly, some not so much. On our outbound flight we left at 6 am from Jakarta, arrived in Narita past 3 pm. We were served a nice breakfast and around 11.30 am the cabin staff started giving out this small, round, soft bread with mayo and turkey ham. I asked her if that was the pre-lunch snack and to my surprise she said that was the lunch. Was really disappointed considering we'd land in Narita past lunch time, and since the only snack offered was little bags of rice crackers, albeit delicious, we'd be quite hungry. The return flight was at 6 pm, to reach Jakarta around midnight. Same thing, seats were nice, staff were mixed, departure and arrival on schedule. We were given options for dinner: eel or chicken. Didn't like eel so I chose chicken which I couldn't eat. Other than the food issue we were pleased with the trip. Check in process was smooth and fast. Departure and arrival on time. Clean, comfy seats. Quite smooth flights.

",Couple Leisure,November 2016,CGK to NRT,Economy Class,4,5,3,5,4,7,yes
true 5 star service,Sam Clarkson,2016-12-02,All Nippon Airways,True,"  Tokyo Haneda to London return in First class. Exceptional experience, and what a difference to British Airways that I have used for last 2 years. ANA provided true 5 star service, a fabulous suite / bed with proper foam mattress enhancer and nice amenities. Food some of the best I have enjoyed in recent years. Cabin staff exemplary - polite, efficient and above all they seemed to care about looking after customers and very attentive whilst discreet. At Tokyo Haneda the ANA Suite lounge is also fabulous - nice food, service and private cubicle suites to relax and work.",Business,September 2016,BOM to NRT,First Class,5,5,5,5,5,10,yes
service levels exceptional,Rajan Parrikar,2016-11-29,All Nippon Airways,True," Mumbai to Tokyo Narita with ANA in a B787 configured in only two classes. Cabin interior was welcoming and immaculately maintained. The Business Class configuration is among the best, allowing for a degree of privacy not offered in most other airlines. Service levels were exceptional strengthening ANA's reputation as one of the top 5 airlines in the world. The flight attendants were attentive yet discreet. All I can say is, flying with ANA in Business is a pleasure.",Solo Leisure,October 2016,LAX to NRT,Business Class,4,3,1,5,4,10,yes
best short-haul experience,H Tennant,2016-11-15,All Nippon Airways,False, Tokyo Haneda to Osaka Itami with ANA. Among the best short-haul experience I've ever had. Everything from check in to baggage claim was smooth and efficient. Inflight entertainment was not needed as it was a 50 minutes flight only. Service was a cup of coffee and an orange juice. No snacks were provided. The seats were excellent with an above average seat pitch and recline.,Couple Leisure,August 2016,LAX to NRT,Economy Class,5,5,5,5,5,10,yes
attendants service is great,G Cruz,2016-10-12,All Nippon Airways,True,"  Flight NH105 departs from LAX / Tom Bradley around midnight which is pretty convenient because it will arrive very early to Haneda Airport near central Tokyo (note that Narita, the other Tokyo airport is in Chiba Prefecture). One of the best things to enjoy in ANA business class is food, and of course the great selection of wines. As this is a midnight flight only a very light meal after take off and breakfast before landing are served. So don't expect full courses or appetizers as in other daylight flights. Seats for this business class are 1x2x1 and I would say that seats in A and K sides (windows) are the best in terms of privacy for passengers. Every seat has a very good space for personal items and as in other airlines seats are flat when they are totally reclined. As per normal flight attendants service is great and ground staff in LAX as well as Haneda is very efficient. Flight entertainment could be better. Wifi connectivity is good, very affordable rates.",Solo Leisure,September 2016,NRT to LAX,Business Class,2,5,4,5,3,8,yes
nothing to complain about,S García ,2016-10-09,All Nippon Airways,True,"  NH00O6 departs from Tokyo around 4.30pm and arrives at Tom Bradley in LAX at 11.30 aprox. The arrival time is great since immigration counters are not that busy at that particular time. Seats are comfortable, maybe not as great as business but still ok for this long flight. I wish the footrest would elevate more. Althought the pitch between seats is bigger than in plain economy they affect the space of the passenger behind when recline. The food had two nice choices and the selection of wines was very good. Service with ANA is great so nothing to complain about. Ground service in Tokyo as well in LAX was very good. Baggage was delivered without delay. Ask for baggage check through if traveling in another Star Alliance carrier even you don't have the other leg of your trip in the same ticket. Flight entertainment could be better.",Solo Leisure,September 2016,SIN to NRT,Premium Economy,3,5,2,3,3,9,yes
I am really impressed,Mayer Sng,2016-09-23,All Nippon Airways,False,"  Singapore to Tokyo Narita. First time on ANA All Nippon Airways and I am really impressed. My partner was fast asleep and past breakfast meal. However, the cabin crew remembered him and served him a choice of breakfast when he wakes up. Meal is really good too.  Also, it is awesome that they give everyone a bottle of water after take off, and have regular walk through to serve water. Pre-landing snack was given, and also some sweets and postcards for you. Entertainment device is user friendly even though it is limited. Cabin crew is the friendliest among all airlines I have taken, and they greet us even when we enter or go out of the toilet. Seats were comfy and will not be affected by passenger in front of you due to shell seating. Electronic devices can be charged mid flight and it is very fast. Wifi service is also provided at a reasonable price. Points lost to the lack of amenity kit and entertainment.",Solo Leisure,August 2016,KIX to PEK,Economy Class,5,5,2,4,5,8,yes
this flight was out of pattern,Michel Perrin,2016-09-04,All Nippon Airways,False,"  Kansai to Beijing. A disappointing experience. Problems started by class reservation. Surprisingly, despite the fact that I paid much more than the lowest fare on the route, ANA released a class ""L"" e-ticket reducing my miles earning to minimum. This is a new practice in some airlines, to which we should pay attention (LH did the same to also on a Business class tkt with a ""P"" class) . My TP Victoria Star Alliance gold card was not recognized at first time at check in. Supervisor was called, card scrutinised and after 15 mn, accepted! Lounge at KIX has improved: there is french wine now. Flight delayed on departure and arrival. Plane was old, with toilets worn out. Food bad, and FA were not pleasant.  I am an ANA fan. They are a standard for our industry. However this flight on every aspect was out of pattern.",Solo Leisure,August 2016,VCE to HND via MUC,Economy Class,5,5,3,5,2,4,yes
cabin staff was excellent,S Tallimo,2016-08-30,All Nippon Airways,False,"  Venice to Tokyo Haneda via Munich. I was impressed that we were able to check-in 2 luggage (23 kg each) plus the hold luggage and I appreciated that the flight departed with admirable punctuality and boarding was quick. Despite the seat was rather small for a 10 hours flight, the plane was new and very clean. Cabin staff was excellent, as well as food and beverages, with a lot of choices. Inflight entertainment: the screen was very good, but movies were a bit old with a very poor choice, especially new movies. All in all I think ANA deserve 5 stars for a lot of things (staff, punctuallity, food, cleaning and services) but the inflight entertainment and seat comfort are not up to the other 5 stars airlines I've tried.

",Couple Leisure,August 2016,NRT to BKK,Economy Class,5,5,4,5,4,8,yes
flight was very good,L Huang,2016-08-11,All Nippon Airways,False,"  This flight from Haneda to Kansai was very good. From boarding to leaving the plane, I felt welcome from the crew members and the ground staff. The airport facilities in Haneda are very convenient for me to use: I can check my baggage and get my paper boarding pass by using check-in machines. Drinks and the in-flight magazine were enough for a flight that was less than one hour. Next time I will choose ANA for my domestic trip in Japan.",Family Leisure,July 2016,IAh to NRT,Economy Class,5,2,1,3,5,10,yes
I highly recommend ANA,Sam Merken,2016-08-04,All Nippon Airways,True,"  Houston to Tokyo Narita with ANA. I was highly impressed! Second time flying ANA and loved it as much if not more than the first time! I actually had the privilege to fly on one of the Star Wars themed jets and it was amazing. Flight Attendants are very accommodating. I booked thru code share United using mileage plus points and changed my flight last minute, less than 24 hours before. I was therefore unable to select my meal preference in which I am a vegetarian. FA's had no issue with that and went above and beyond to accommodate me, which I truly appreciate. Ive been on other airlines where I felt scolded that I didnt make my selection on time and honestly there are some of us who book flights less than 24 hours prior and even on the day of. Anyway, the flight was delayed maybe 20 minutes but they boarded in a timely fashion and got us up in the air in no time, we landed on time as well. We received two meals and a snack along with suffice beverages included free alcohol - at or a little above average airplane food. InFlight entertainment is kind of lacking some titles. I think there were very limited options especially when doing a round trip. I pretty much saw all the movies going leaving me watching movies over for a second time on the way back. Actually tried some foreign movies with subtitles on the way back but might not necessarily be everyones thing. We all received a Star Wars card thanking us and saying that we flew the star wars aircraft which I thought was cool! Overall, I highly recommend ANA and would place it in my top 10 thus far!",Solo Leisure,July 2016,IAH to NRT,Economy Class,3,5,5,3,5,8,yes
Star Wars themed jet was amazing,Simon Meeks,2016-07-30,All Nippon Airways,False,"  Houston to Tokyo Narita. Second time flying ANA and loved it as much if not more than the first time! I had the privilege to fly on one of the Star Wars themed jets and it was amazing! Flight Attendants are very well accommodating. I booked thru code share United using mileage plus points and changed my flight last minute, less than 24 hours before. I was therefore unable to select my meal preference in which I am a vegetarian. The FA's had no issue with that and went above and beyond to accommodate me. Anyway, the flight was delayed maybe 20 minutes but they boarded in a timely fashion and got us up in the air in no time. We received two meals and a snack along with beverages included free alcohol. The food was at or a little above average airplane food. Inflight entertainment is lacking some titles. I pretty much saw all the movies going leaving me watching movies over for a second time on the way back. Actually tried some foreign movies with subtitles on the way back but might not  be everyone's thing! We all also received a Star Wars card thanking us and saying that we flew the star wars aircraft which i thought was cool! Overall, I highly recommend ANA.",Solo Leisure,July 2016,TAK to HND,Economy Class,5,5,5,5,5,8,yes
flight attendants helpful and friendly,Shi Guo,2016-07-07,All Nippon Airways,True,"  Flew ANA from Los Angeles to Narita to Shenyang and return. One passenger was booked using UA miles. One passenger was on paid ticket. Had trouble paying using a US credit card, then switched to a debit card the payment went through. Aircraft was clean, flight attendants are helpful and friendly. Passengers were very quiet in cabin. Boarding process was very quick. Food service were excellent. Seat pitch was 34 inches which was critical to stretch legs, better than most of 31-32 inches seats on most of the airlines.",Business,July 2016,AUS to KUL via NRT,Economy Class,5,4,4,3,5,9,yes
non-practical protocol,S Chen,2016-07-04,All Nippon Airways,True," Booked a trip from Austin to Malaysia via Narita from United / ANA and had the worst experience. I was forced to run around Narita airport for nearly 2 hours. I was stopped at the transit check point in Narita as airport security said the tripod I was carrying was longer than their allowed measurement and was considered security item so I couldn't hand carry it. It wasn't even an issue when I was passing through the US immigration and there wasn't even warning about these dimension restriction when I got my tickets. I don't mind not hand carrying it but ANA staff had me check out from the immigration, go to the check in counter to check in my tripod, then go thru the immigration again. The airport was filled and badly ventilated. I didn't even get to enjoy my lounge experience, was drench in sweat and had to run to the gate as the gate was about to close. The staff could have just checked my tripod at my gate which would have saved me all the hassle from running thru the immigration checkpoints. Such a non-practical protocol that they have just irks and zaps all the previous good experience I had towards them. And having done this to a Premier 1K and Gold Alliance customer says a lot about their service.",Business,June 2016,SIN to NRT,Premium Economy,5,3,5,4,1,1,no
meal service is very efficient,N Shane,2016-05-25,All Nippon Airways,True,"  Trip Routing - Manila - Haneda - Vancouver - May 2016. ANA Deserves their 5 star rating. Manila airport Terminal 3 is a bit chaotic but check in line moves quickly and agents are fast and efficient. The true experience begins when you are greeted at the aircraft door by the wonderful flight attendants. The Japanese have mastered the art of ""Customer Service"". FA's are friendly, courteous and with smile that never goes away. Meal service is very efficient as they show in pictures what is being served and all you need to do is point and comes your hot, delicious and well presented meal. On my longer leg, HND-YVR, 2 meal services were offered and there's an in-between snack and drink service all the time. FA's are seen throughout the entire flights. FA's walking up and down the aisle checking on every awake passenger and offering drinks or food. FA's are also on standby in the back area galley and awaiting for any passenger call. I know this because I get up almost every hour to stretch and FA's never failed to ask me if I needed anything. Economy Seats are comfortable and legroom is sufficient. Aircraft is clean and smells fresh.",Solo Leisure,April 2016,NRT to HKG,Economy Class,3,4,3,5,5,10,yes
seating is very comfortable,R Morrison,2016-05-12,All Nippon Airways,False,"  I fly ANA frequently since I am based primarily in Japan and they offer the most flights available to my most common destinations. This particular route from Tokyo to Hong Kong is the one I fly most frequently (at least 2 times round trip per month). The seating on board this flight is very comfortable both in Economy and Business Class sections. Business Class has a different layout compared to that of other plans I have been on which is a 5 seat row set up. 2 seats on the outside with a single in the center between the 2 aisles. Staff and crew on this flight are very nice and professional and there is at least 1 or 2 FA's who speak very good English. At Narita and Hong Kong, both flights usually use gates at the far end of the terminals so best to make sure not to be late otherwise you will need to hurry to make the flight. Meal is served on a single tray at one time unlike appetizer, main course then dessert individually like on other ANA flights Regarding WiFi availability, I have not used it and not sure if is available on this flight.
",Business,May 2016,CGK to HND,Business Class,3,4,5,3,4,9,yes
they were friendly,Sam Wanadi,2016-04-29,All Nippon Airways,False,"  Tokyo to Jakarta. ANA has always been professional, and this time they were friendly with Indonesian passengers by adding some oral guides spoken in Indonesian, even though there is no Indonesian native on board. Fresh choices of food and drinks. Clean cabin and toilet. However, the 3x3x3 seat layout on Boeing 787 feels a bit cramped and stiff. Economy class dessert is mediocre. Cabin service polite but slow at the same time. IFE choices limited, a Japanese airline without many Japanese movies added. 
",Solo Leisure,April 2016,KUL to NRT,Economy Class,5,5,5,5,4,7,yes
impressed with the airline,Ian Ward,2016-04-25,All Nippon Airways,True,"  Kuala Lumpur to Tokyo Narita was the first time me, my wife, and daughter have ever flown on ANA, and we were left impressed with the airline. Everyone from the check-in counter staff, ground staff, and cabin crew were super friendly, efficient, and helpful throughout the whole trip. Onboard, the seats were quite comfortable and spacious, compared to seats on other A380's and B787's. Food was served fast, heated, and tasty. IFE was very user-friendly and had enough entertainment for the 7hr journey. Flight crew were checking on us and our child and always on hand to help. Plane was very clean and loved the Boeing 787. Only slight complaint was how the plane was parked away from the terminal, instead of gates and how we needed to take a 5 minute shuttle bus to Narita Terminal 1. Will definitely recommend ANA and opt to fly with them again in the future.",Family Leisure,April 2016,SFO to BKK via NRT,Economy Class,2,5,2,4,5,9,yes
the staff was outstanding,D Coates,2016-04-19,All Nippon Airways,True,"  San Francisco to Bangkok via Tokyo. The inflight entertainment wasn't the best for the SFO to NRT hour flight, and of course was the same from Tokyo Narita to Bangkok flight.  The vegetarian (lacto ovo) meal was awful. However, the service from the staff was outstanding. The price was great (booked via united airlines), but would hesitate to fly this airline again. Seats were of average comfort, and seat pitch was great on the Boeing 777-300, not so much on the Boeing 777-200.",Couple Leisure,March 2016,SIN to LAX via NRT,Economy Class,5,5,5,2,4,6,no
